Year,Population,Population_millions,YoY_growth_pct,3yr_rolling_growth_pct
2010,309320000,309.32,,
2011,311560000,311.56,0.72,
2012,313830000,313.83,0.73,
2013,315990000,315.99,0.69,2.16
2014,318300000,318.3,0.73,2.16
2015,320640000,320.64,0.74,2.17
2016,322940000,322.94,0.72,2.2
2017,324990000,324.99,0.63,2.1
2018,326690000,326.69,0.52,1.89
2019,328240000,328.24,0.47,1.64
2020,331580000,331.58,1.02,2.03
2021,332100000,332.1,0.16,1.66
2022,334020000,334.02,0.58,1.76
2023,336810000,336.81,0.84,1.58
2024,340110000,340.11,0.98,2.41
